dataset,optimizer,train_loss,step
RNNLM_lm1b32k_Patch32_LSTM256_Embed128,adafactor,6.496798038482666,1982
RNNLM_lm1b32k_Patch32_LSTM256_Embed128,adam,5.455970287322998,1948
RNNLM_lm1b32k_Patch32_LSTM256_Embed128,celo,4.612301349639893,1948
RNNLM_lm1b32k_Patch32_LSTM256_Embed128,celo_sam,4.4643635749816895,1839
RNNLM_lm1b32k_Patch32_LSTM256_Embed128,sgd,6.303973197937012,1789
RNNLM_lm1bbytes_Patch32_LSTM128_Embed64,adafactor,2.837242603302002,1999
RNNLM_lm1bbytes_Patch32_LSTM128_Embed64,adam,2.076576232910156,1992
RNNLM_lm1bbytes_Patch32_LSTM128_Embed64,celo,1.5785810947418213,1935
RNNLM_lm1bbytes_Patch32_LSTM128_Embed64,celo_sam,1.6744614839553833,1935
RNNLM_lm1bbytes_Patch32_LSTM128_Embed64,sgd,2.317379236221313,1939
RNNLM_wikipediaen32k_Patch32_LSTM256_Embed128,adafactor,6.800811290740967,1939
RNNLM_wikipediaen32k_Patch32_LSTM256_Embed128,adam,5.106731414794922,1968
RNNLM_wikipediaen32k_Patch32_LSTM256_Embed128,celo,3.752167701721192,1939
RNNLM_wikipediaen32k_Patch32_LSTM256_Embed128,celo_sam,3.6506035327911377,1939
RNNLM_wikipediaen32k_Patch32_LSTM256_Embed128,sgd,6.443154335021973,1968
TransformerLM_LM1B_MultiRuntime_0,adafactor,8.623714447021484,1980
TransformerLM_LM1B_MultiRuntime_0,adam,5.422853469848633,1918
TransformerLM_LM1B_MultiRuntime_0,celo,4.52388858795166,1860
TransformerLM_LM1B_MultiRuntime_0,celo_sam,4.752026557922363,1563
TransformerLM_LM1B_MultiRuntime_0,sgd,5.359941482543945,1980
