dataset,seed,variant,step,train_loss,cum_flops,compression
TransformerLM_LM1B_MultiRuntime_0,7,celo,0,10.607949256896973,0.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,0,10.710060119628906,0.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,0,10.66129207611084,0.0,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,0,10.607135772705078,0.0,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,0,10.66443920135498,0.0,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,0,10.747312545776367,0.0,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,0,10.679553985595703,0.0,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,0,10.68301773071289,0.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,1,10.792156219482422,1186848.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,1,10.748993873596191,593424.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,1,10.709245681762695,356054.4000000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,1,10.679347038269043,237369.59999999995,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,1,10.675971984863281,178027.20000000004,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,1,10.749077796936035,118684.79999999997,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,1,10.693459510803223,59342.40000000005,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,1,10.7129487991333,296712.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,2,10.528722763061523,2373696.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,2,10.632226943969727,1186848.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,2,10.740880012512207,712108.8000000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,2,10.599072456359863,474739.1999999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,2,10.652124404907227,356054.4000000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,2,10.568145751953125,237369.59999999995,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,2,10.681257247924805,118684.8000000001,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,2,10.657262802124023,593424.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,3,10.792219161987305,3560544.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,3,10.870174407958984,1780272.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,3,10.691777229309082,1068163.2000000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,3,10.788487434387207,712108.7999999998,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,3,10.850162506103516,534081.6000000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,3,10.776628494262695,356054.3999999999,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,3,10.978904724121094,178027.20000000016,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,3,10.834957122802734,890136.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,4,10.762870788574219,4747392.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,4,10.817525863647461,2373696.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,4,10.878536224365234,1424217.6000000003,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,4,10.977680206298828,949478.3999999998,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,4,10.908852577209473,712108.8000000002,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,4,10.88705062866211,474739.1999999999,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,4,10.915651321411133,237369.6000000002,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,4,10.756648063659668,1186848.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,5,10.318390846252441,5934240.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,5,10.511897087097168,2967120.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,5,10.580626487731934,1780272.0000000005,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,5,10.595687866210938,1186847.9999999998,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,5,10.740310668945312,890136.0000000002,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,5,10.558992385864258,593423.9999999999,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,5,10.697898864746094,296712.00000000023,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,5,10.425540924072266,1483560.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,6,10.49842357635498,7121088.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,6,10.455921173095703,3560544.0,2.0
