dataset,run,step,optimizer,train_loss,val_loss
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_fp32,nan,10.766624450683594
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_bf16,nan,10.806066513061523
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_fp16,nan,10.725335121154785
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_fp8_e4m3fn,nan,10.785584449768066
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_fp8_e5m2,nan,10.884449005126953
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_int8,nan,10.769840240478516
TransformerLM_LM1B_MultiRuntime_0,0,0,celo_int4,nan,10.75510025024414
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_fp32,11.054269790649414,10.890518188476562
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_bf16,10.99871826171875,10.767104148864746
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_fp16,11.044571876525879,10.72142219543457
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_fp8_e4m3fn,11.010946273803711,10.784120559692383
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_fp8_e5m2,10.965239524841309,10.798324584960938
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_int8,11.022954940795898,10.723909378051758
TransformerLM_LM1B_MultiRuntime_0,0,1,celo_int4,11.060892105102539,10.841353416442871
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_fp32,10.748676300048828,10.639184951782227
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_bf16,10.694340705871582,10.714303970336914
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_fp16,10.798357963562012,10.736270904541016
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_fp8_e4m3fn,10.679498672485352,10.679474830627441
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_fp8_e5m2,10.739237785339355,10.737874984741211
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_int8,10.74119758605957,10.704237937927246
TransformerLM_LM1B_MultiRuntime_0,0,2,celo_int4,10.659112930297852,10.692909240722656
TransformerLM_LM1B_MultiRuntime_0,0,3,celo_fp32,10.512628555297852,10.457402229309082
TransformerLM_LM1B_MultiRuntime_0,0,3,celo_bf16,10.387985229492188,10.494760513305664
TransformerLM_LM1B_MultiRuntime_0,0,3,celo_fp16,10.423261642456055,10.404945373535156
TransformerLM_LM1B_MultiRuntime_0,0,3,celo_fp8_e4m3fn,10.442245483398438,10.475440979003906
