seed,variant,step,train_loss,cum_flops,compression
7,celo,0,10.657635688781738,0.0,1.0
7,prune_50,0,10.687817573547363,0.0,2.0
7,prune_75,0,10.647022247314453,0.0,4.0
7,prune_99,0,10.633573532104492,0.0,999.9999999999991
7,quant8,0,10.63771915435791,0.0,4.0
7,celo,1,10.623823165893555,1186848.0,1.0
7,prune_50,1,10.593964576721191,593424.0,2.0
7,prune_75,1,10.72161865234375,296712.0,4.0
7,prune_99,1,10.617940902709961,1186.848000000001,999.9999999999991
7,quant8,1,10.602783203125,296712.0,4.0
7,celo,2,10.784459114074707,2373696.0,1.0
7,prune_50,2,10.700891494750977,1186848.0,2.0
7,prune_75,2,10.803302764892578,593424.0,4.0
7,prune_99,2,10.890768051147461,2373.696000000002,999.9999999999991
7,quant8,2,10.736308097839355,593424.0,4.0
7,celo,3,10.35763931274414,3560544.0,1.0
7,prune_50,3,10.298735618591309,1780272.0,2.0
7,prune_75,3,10.313490867614746,890136.0,4.0
7,prune_99,3,10.514452934265137,3560.5440000000035,999.9999999999991
7,quant8,3,10.502944946289062,890136.0,4.0
7,celo,4,10.596243858337402,4747392.0,1.0
7,prune_50,4,10.487177848815918,2373696.0,2.0
7,prune_75,4,10.669746398925781,1186848.0,4.0
7,prune_99,4,10.672390937805176,4747.392000000004,999.9999999999991
7,quant8,4,10.550622940063477,1186848.0,4.0
7,celo,5,10.113293647766113,5934240.0,1.0
7,prune_50,5,10.501543998718262,2967120.0,2.0
7,prune_75,5,9.890459060668945,1483560.0,4.0
7,prune_99,5,10.748818397521973,5934.240000000005,999.9999999999991
7,quant8,5,10.130486488342285,1483560.0,4.0
7,celo,6,10.313576698303223,7121088.0,1.0
7,prune_50,6,10.43488883972168,3560544.0,2.0
7,prune_75,6,10.251708984375,1780272.0,4.0
7,prune_99,6,10.80040454864502,7121.088000000007,999.9999999999991
7,quant8,6,10.31604290008545,1780272.0,4.0
7,celo,7,9.968687057495117,8307936.0,1.0
7,prune_50,7,10.195061683654785,4153968.0,2.0
7,prune_75,7,10.014486312866211,2076984.0,4.0
7,prune_99,7,10.557546615600586,8307.936000000007,999.9999999999991
7,quant8,7,9.951525688171387,2076984.0,4.0
7,celo,8,10.400420188903809,9494784.0,1.0
7,prune_50,8,10.235658645629883,4747392.0,2.0
7,prune_75,8,10.193977355957031,2373696.0,4.0
7,prune_99,8,10.799850463867188,9494.784000000009,999.9999999999991
7,quant8,8,10.184226989746094,2373696.0,4.0
7,celo,9,9.551795959472656,10681632.0,1.0
7,prune_50,9,9.329425811767578,5340816.0,2.0
7,prune_75,9,9.370946884155273,2670408.0,4.0
7,prune_99,9,10.723098754882812,10681.63200000001,999.9999999999991
